StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
709446,16,20000464,1,2020,James Johnson,MIN,PF,1,20000016,2020-10-31T22:19:28,32,600.4,631,33,105.1,219.3,48.9,56.9,71.4,126.5,57.6,33.7,92.8,37.0,31.6,49.0,65.9,25.5,94.9,120.4,4.3,16.8,10.2,75.5,25.5,32.6,49.0,81.6,275.4,240.8,58.3,17.8,18.3,2.0,4.5,17.2,19.3,658.5,647.7,658.5,-77.5,0.0,0.0,647.7,False,,Scrambled
709677,22,20000466,1,2020,Bruno Caboclo,HOU,SF,0,20000022,2020-10-31T22:19:28,30,235.6,249,13,38.8,90.8,43.6,47.0,32.6,57.1,58.2,6.2,33.7,18.6,8.3,9.4,90.7,23.5,37.7,61.2,10.2,16.3,13.1,12.2,15.3,17.3,13.3,31.6,91.8,94.8,49.4,16.8,7.4,3.0,6.2,12.5,18.4,268.3,249.9,268.3,-32.6,1.0,0.0,249.9,False,,Scrambled
708351,27,20000468,1,2020,Anthony Davis,LAL,PF,62,20000027,2020-10-31T22:19:28,62,2982.9,2174,24,562.0,1117.9,51.3,54.7,488.6,895.6,55.7,73.4,222.4,33.7,452.9,535.5,86.3,144.8,443.7,588.5,7.7,22.5,15.1,204.0,92.8,145.9,157.1,159.1,1650.4,1353.5,62.2,32.2,15.4,2.1,6.3,10.6,30.0,3221.6,3171.9,3221.6,245.8,29.6,0.0,3171.9,False,,Scrambled
710907,22,20000471,1,2020,Eric Gordon,HOU,SG,15,20000022,2020-10-31T22:19:28,36,729.5,1036,12,174.4,472.3,37.6,48.2,76.5,163.2,47.8,97.9,309.1,32.3,83.6,109.1,78.1,9.4,63.2,72.4,0.9,6.7,3.8,55.1,23.5,13.3,43.9,71.4,530.4,520.3,52.0,13.0,8.2,1.1,1.1,8.1,23.1,766.2,804.0,766.2,3.1,0.0,0.0,804.0,False,,Scrambled
708352,23,20000474,1,2020,Jrue Holiday,NO,PG,61,20000023,2020-10-31T22:19:28,61,2285.4,2158,52,467.2,1026.1,46.4,52.6,342.7,673.2,51.9,124.4,352.9,36.0,131.6,185.6,72.3,78.5,220.3,298.9,4.0,11.1,7.6,416.2,101.0,49.0,187.7,147.9,1190.3,1107.8,54.8,21.3,29.7,2.3,2.0,14.8,25.1,2435.4,2473.2,2435.4,35.7,10.2,1.0,2473.2,False,,Scrambled
710928,22,20000475,1,2020,Ryan Anderson,HOU,PF,0,20000022,2020-10-31T22:19:28,2,17.7,13,59,2.1,7.3,29.2,29.2,1.0,2.1,51.0,1.0,5.2,20.4,0.0,0.0,0.0,0.0,7.3,7.3,0.0,54.0,26.8,2.1,1.0,0.0,1.0,1.0,5.2,7.3,36.4,13.3,20.8,3.5,0.0,12.8,24.3,18.8,19.1,18.8,7.3,0.0,0.0,19.1,False,,Scrambled
710891,26,20000482,1,2020,Draymond Green,GS,PF,43,20000026,2020-10-31T22:19:28,43,1172.2,1245,39,125.5,322.3,39.7,45.5,88.7,190.7,47.4,36.7,131.6,28.5,64.3,84.7,77.4,23.5,247.9,271.3,2.0,22.8,12.0,271.3,60.2,33.7,100.0,112.2,351.9,359.6,49.9,15.4,31.8,2.4,2.5,22.2,16.1,1266.0,1269.4,1266.0,-195.8,8.3,2.1,1269.4,False,,Scrambled
709686,30,20000483,1,2020,Harrison Barnes,SAC,SF,72,20000030,2020-10-31T22:19:28,72,1767.2,2531,36,372.3,808.9,46.9,53.6,268.3,535.5,51.1,104.0,273.4,38.9,218.3,272.3,81.7,78.5,283.6,362.1,3.5,13.2,8.4,162.2,43.9,12.2,89.8,94.9,1066.9,928.7,58.5,15.6,9.6,0.9,0.5,9.2,17.9,1823.2,1888.3,1823.2,-126.5,4.2,0.0,1888.3,False,,Scrambled
710883,26,20000485,1,2020,Stephen Curry,GS,PG,5,20000026,2020-10-31T22:19:28,5,186.4,142,19,33.7,83.6,41.0,48.6,21.4,33.7,64.9,12.2,50.0,25.0,26.5,26.5,102.0,4.2,22.4,26.5,3.1,18.1,10.3,33.7,5.2,2.1,16.3,11.2,106.1,95.3,56.7,26.9,43.1,1.8,1.3,14.9,34.4,193.5,203.5,193.5,-43.9,1.0,0.0,203.5,False,,Scrambled
710929,26,20000486,1,2020,Klay Thompson,GS,SG,0,20000026,2020-10-31T22:19:28,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
